From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)
MAP3K14	Q99558	reviewed	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)	MAP3K14 NIK	Homo sapiens (Human)	947	MAP3K14
SSBP3	Q9BWW4	reviewed	SSBP3_HUMAN	Single-stranded DNA-binding protein 3 (Sequence-specific single-stranded-DNA-binding protein)	SSBP3 SSDP SSDP1	Homo sapiens (Human)	388	SSBP3
IFIH1	Q9BYX4	reviewed	IFIH1_HUMAN	Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Clinically amyopathic dermatomyositis autoantigen 140 kDa) (CADM-140 autoantigen) (Helicase with 2 CARD domains) (Helicard) (Interferon-induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (Murabutide down-regulated protein) (RIG-I-like receptor 2) (RLR-2) (RNA helicase-DEAD box protein 116)	IFIH1 MDA5 RH116	Homo sapiens (Human)	1025	IFIH1
TRIM5	Q9C035	reviewed	TRIM5_HUMAN	Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	TRIM5 RNF88	Homo sapiens (Human)	493	TRIM5
NT5C3	Q9H0P0	reviewed	5NT3A_HUMAN	Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	Homo sapiens (Human)	336	NT5C3A
APOBEC3G	Q9HC16	reviewed	ABC3G_HUMAN	DNA dC->dU-editing enzyme APOBEC-3G (EC 3.5.4.38) (APOBEC-related cytidine deaminase) (APOBEC-related protein) (ARCD) (APOBEC-related protein 9) (ARP-9) (CEM-15) (CEM15) (Deoxycytidine deaminase) (A3G)	APOBEC3G MDS019	Homo sapiens (Human)	384	APOBEC3G
MOV10	Q9HCE1	reviewed	MOV10_HUMAN	Helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631	Homo sapiens (Human)	1003	MOV10
PHF15	Q9NQC1	reviewed	JADE2_HUMAN	E3 ubiquitin-protein ligase Jade-2 (EC 2.3.2.27) (Jade family PHD finger protein 2) (PHD finger protein 15)	JADE2 KIAA0239 PHF15	Homo sapiens (Human)	790	JADE2
APOBEC3C	Q9NRW3	reviewed	ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C (A3C) (EC 3.5.4.38) (APOBEC1-like) (Phorbolin I)	APOBEC3C APOBEC1L PBI	Homo sapiens (Human)	190	APOBEC3C
TREX1	Q9NSU2	reviewed	TREX1_HUMAN	Three-prime repair exonuclease 1 (EC 3.1.11.2) (3'-5' exonuclease TREX1) (Deoxyribonuclease III) (DNase III)	TREX1	Homo sapiens (Human)	314	TREX1
DDIT4	Q9NX09	reviewed	DDIT4_HUMAN	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	Homo sapiens (Human)	232	DDIT4
APOBEC3B	Q9UH17	reviewed	ABC3B_HUMAN	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.38) (Phorbolin-1-related protein) (Phorbolin-2/3)	APOBEC3B	Homo sapiens (Human)	382	APOBEC3B
SUN2	Q9UH99	reviewed	SUN2_HUMAN	SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2)	SUN2 FRIGG KIAA0668 RAB5IP UNC84B	Homo sapiens (Human)	717	SUN2
HPSE	Q9Y251	reviewed	HPSE_HUMAN	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	HPSE HEP HPA HPA1 HPR1 HPSE1 HSE1	Homo sapiens (Human)	543	HPSE
OAS3	Q9Y6K5	reviewed	OAS3_HUMAN	2'-5'-oligoadenylate synthase 3 ((2-5')oligo(A) synthase 3) (2-5A synthase 3) (EC 2.7.7.84) (p100 OAS) (p100OAS)	OAS3 P/OKcl.4	Homo sapiens (Human)	1087	OAS3
